,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Karnataka,Karnataka,GPE,-0.16911765,0.84558824,en,3.40000000,4110022-0,1267701,X,13.50000000,76.00000000,ASIA,India,SAS
Somalia,Somalia,GPE,-0.23484848,0.74873737,en,3.30000000,4077509-4,51537,X,6.00000000,48.00000000,AFRICA,Somalia,NEAF
Calgary,Calgary,GPE,-0.04877345,0.28398268,en,3.30000000,4085122-9,5913490,X,51.05000000,-114.08527700,NORTH-AMERICA,Canada,NWN
Ottawa,Ottawa,GPE,-0.04687500,0.36588542,en,3.20000000,4122012-2,6094817,X,45.41111100,-75.69805500,NORTH-AMERICA,Canada,ENA
Idaho,Idaho,GPE,0.09943182,0.22727273,en,3.20000000,4026462-2,5596512,X,44.50019900,-114.25118000,NORTH-AMERICA,United States,WNA
Maine,Maine,GPE,0.18548387,0.39919355,en,3.10000000,4114929-4,4971068,X,45.50032000,-69.24976900,NORTH-AMERICA,United States,ENA
Madhya Pradesh,Madhya Pradesh,GPE,0.08719103,0.35400084,en,3.10000000,4234626-5,1264542,X,23.50000000,78.50000000,ASIA,India,SAS
Fla.,Fla.,GPE,0.22177419,0.36693548,en,3.10000000,,-1,,,,,,
Johnson County,Johnson County,GPE,0.08968719,0.21114370,en,3.10000000,,-1,,,,,,
Taiwan,Taiwan,GPE,0.04154448,0.28901922,en,3.10000000,4017875-4,1668284,X,24.00000000,121.00000000,ASIA,Taiwan,EAS
TEHRAN,TEHRAN,GPE,-0.26777778,0.93000000,en,3.00000000,,-1,,,,,,
Los Angeles,Los Angeles,GPE,-0.02011494,0.59051724,en,2.90000000,,-1,,,,,,
Attica,Attica,GPE,0.05295567,0.96551724,en,2.90000000,,-1,,,,,,
Kenya,Kenya,GPE,0.28571429,0.35714286,en,2.80000000,4030236-2,192950,X,1.00000000,38.00000000,AFRICA,Kenya,SEAF
Tasmania,Tasmania,GPE,0.20292208,0.80735931,en,2.80000000,,-1,,,,,,
